title,director,cast,country,subgenre
The Astronaut,Jess Varley,"Kate Mara , Laurence Fishburne , Gabriel Luna , Ivana Miličević",United States,Science fiction Horror
The Baby in the Basket,"Andy Crane, Nathan Shepka","Amber Doig-Thorne, Michaela Longden, Elle O'Hara, Paul Barber , Lisa Reisner, Nathan Shepka, Maryam d'Abo",United Kingdom,Gothic War Horror
The Bhootnii,Sidhaant Sachdev,"Sanjay Dutt , Sunny Singh , Mouni Roy , Palak Tiwari",India,Horror Comedy
The Black-Eyed Children,József Gallai,"Kata Kuna, Bill Oberst Jr. , Simon Bamford","United States, Hungary",Found footage Horror
The Book Of Sijjin And Illiyyin,Hadrah Daeng Ratu,"Yunita Siregar, Dinda Kanyadewi, Tarra Budiman, Djenar Maesa Ayu",Indonesia,Horror Thriller
The Caretaker,Luke Tedder,"Ben Probert, Mackenzie Larsen, Scott Hume, P G Pearson, Lauren Shotton, Chris McQuire, Livvy Dawson",United Kingdom,Independent Horror Thriller
The Caretakers,Shugo Praico,"Iza Calzado , Dimples Romana",Philippines,Horror
The Carpenter's Son,Lotfy Nathan,"Nicolas Cage , Noah Jupe , Souheila Yacoub , Isla Johnston, FKA Twigs","United States, France",Horror
The Conjuring: Last Rites,Michael Chaves,"Vera Farmiga , Patrick Wilson , Ben Hardy , Mia Tomlinson",United States,Supernatural horror
The Cursed,Hong Won-ki,"Yoo Jae-myung , Moon Chae-won , Seo Young-hee , Won Hyun-joon, Solar , Cha Sun-woo , Bae Su-min , Seo Ji-soo , Son Juyeon , Ngoe Xoan, Emma Le",South Korea,Supernatural Horror
The Cursed of Satan Temptation,Fahmy J. Saad,"Donny Alamsyah, Poppy Sovia, Azela Putri",Indonesia,Horror
The Death of Snow White,Jason Brooks,"Sanae Loutsis, Chelsea Edmundson",United States,Dark fantasy Horror
The Decedent,Andrew Bowser,"Zoe Graham, Andrew Bowser, Paul Schwartz",United States,Found Footage Horror
The Demon's Bride,Azhar Kinoi Lubis,"Taskya Namya, Wafda Saifan , Arla Ailani",Indonesia,Horror Thriller
The Drowned,Samuel Clemens,"Corrinne Wicks , Lara Lemon, Michelangelo Fortuzzi",United Kingdom,Horror
The Elixir,Kimo Stamboel,"Mikha Tambayong , Eva Celia , Donny Damara",Indonesia,Survival Horror Zombie
The Fetus,Joe Lam,"Bill Moseley , Lauren LaVera , Julian Curtis",United States,Horror Comedy
The Ghost Game,Son Dong-wan,"Yeri , Lee Chan-hyeong , Seo Dong-hyun, Kim Eun-Bi, Park Seo-yeon",South Korea,Horror Myster Thriller
The Gorge,Scott Derrickson,"Miles Teller , Anya Taylor-Joy , Sigourney Weaver , William Houston",United States,Survival Action
The Grieving,"Stefano Mandalà, Alessandro Antonaci, Daniel Lascar, T3","David Ajayi, Donatella Bartoli, Andrea Caldi, Matteo Pasquini",Italy,Horror
The Grove,"Acoryé White, Patrycja Kepa","Acoryé White, Carl Anthony Payne II , Psalms, Haley Sims, Jolena Wu",United States,"Horror, Mystery, Thriller"
The Hand That Rocks the Cradle,Michelle Garza Cervera,"Mary Elizabeth Winstead , Maika Monroe , Raúl Castillo , Martin Starr",United States,Horror
The Healing,Denis Kryuchkov,"Wolfgang Cerny, Alena Mitroshina, Vyacheslav Chepurchenko","Slovenia, Russia",Horror Thriller
The Hem,Tyler Russell,"Rani Alowairdi, Terri Merritt Bennett, Ryan Bijan",United States,Supernatural Found Footage Horror
The Home,James DeMonaco,"Pete Davidson , John Glover , Bruce Altman",United States,Psychological horror Thriller
The Home,Mattias Johansson Skoglund,"Malin Levanon , Lily Wahlsteen",Sweden,Supernatural horror
The House Was Not Hungry Then,Harry Aspinwall,"Bobby Rainsbury, Clive Russell , Bill Paterson",United Kingdom,Horror
The Housemaid,Paul Feig,"Sydney Sweeney , Amanda Seyfried , Brandon Sklenar , Michele Morrone , Elizabeth Perkins",United States,Psychological thriller
The Last 7 Days,Awi Suryadi,"Agla Artalidia, Anantya Kirana, Sultan Hamonangan",Indonesia,Horror
The Last Cabin,Brendan Rudnicki,"Tatum Bates, Isabella Bobadilla, Kyree Cook",United States,Found footage Horror
The Long Walk,Francis Lawrence,"Cooper Hoffman , David Jonsson , Garrett Wareing , Joshua Odjick , Tut Nyuot , Charlie Plummer , Ben Wang , Roman Griffin Davis , Jordan Gonzalez, Josh Hamilton , Judy Greer , Mark Hamill",United States,Dystopian Horror
The Man in My Basement,Nadia Latif,"Corey Hawkins , Willem Dafoe , Anna Diop , Tamara Lawrance",United States,Horror Thriller
The Marianas Web,Marco Calvise,"Sahara Bernales, Alexa Ocampo, Ruben Maria Soriquez","Philippines, Italy",Science Fiction Horror
The Monkey,Osgood Perkins,"Theo James , Tatiana Maslany , Elijah Wood , Christian Convery , Colin O'Brien, Rohan Campbell , Sarah Levy",United States,Black Comedy Supernatural horror
The Oval Portrait,Adrian Langley,"Louisa Capulet, Colby Frost, Simon Phillips",Canada,Thriller
